ENTRY_TIME,EXIT_TIME,VEHICLE_ID,GATE_NO
2024-05-30 09:27:48,2024-05-30 13:42:45,JH16F5561,1
2024-05-30 09:27:44,2024-05-30 17:19:59,JH01CS5819,1
2024-05-30 09:27:42,2024-05-30 18:15:49,GJ06JE4176,1
2024-05-30 09:27:11,2024-05-30 20:00:31,OD29H6368,1
2024-05-30 09:26:27,NULL,OD3309082L,1
2024-05-30 09:25:56,2024-05-30 17:28:33,OD02BV5814,1
2024-05-30 09:25:33,2024-05-30 19:45:49,OD02AJ1974,1
2024-05-30 09:25:05,2024-05-30 17:06:26,AS26D6311,1
2024-05-30 09:25:03,NULL,O002G6868,1
2024-05-30 09:24:44,2024-05-30 17:22:42,OD02BL6912,1
2024-05-30 09:24:34,2024-05-30 19:06:10,BR12CR0710,1
2024-05-30 09:24:14,2024-05-30 17:37:34,OD02BS9306,1
2024-05-30 09:24:08,2024-05-30 18:39:02,OD05BD2450,1
2024-05-30 09:24:04,2024-05-30 17:30:35,AS01DF6948,1
2024-05-30 09:23:30,2024-05-30 12:44:05,UP16CQ4090,1
2024-05-30 09:23:06,2024-05-30 17:24:18,AS26B6504,1
2024-05-30 09:22:19,NULL,O021M2201,1
2024-05-30 09:22:15,2024-05-30 17:27:09,AS23P5459,1
2024-05-30 09:22:13,2024-05-30 09:23:48,OD02BT9471,1
2024-05-30 09:20:57,2024-05-30 17:34:34,AS26B7700,1
2024-05-30 09:20:23,NULL,UP05AQ6290,1
2024-05-30 09:20:03,2024-05-30 11:30:21,OD33AE003G,1
2024-05-30 09:19:23,2024-05-30 19:19:41,23BH7894E,1
2024-05-30 09:19:10,2024-05-30 20:08:40,GJ06KP1929,1
2024-05-30 09:19:01,2024-05-30 17:38:57,AP35AF3298,1
2024-05-30 09:18:47,2024-05-30 16:31:27,OD05AR1294,1
2024-05-30 09:18:42,2024-05-30 21:23:09,OD02AS7781,1
2024-05-30 09:17:37,NULL,OD02B04797,1
2024-05-30 09:16:39,NULL,UP16AD72245,1
2024-05-30 09:16:37,2024-05-30 18:51:07,OD02BQ6200,1
2024-05-30 09:16:31,2024-05-30 19:11:31,23BH0517C,1
2024-05-30 09:15:26,2024-05-30 18:42:35,23BH7513F,1
2024-05-30 09:15:06,2024-05-30 19:18:20,OD33A0044,1
2024-05-30 09:15:02,2024-05-30 17:17:49,OD02AT8711,1
2024-05-30 09:14:56,2024-05-30 15:07:41,OD05BR6105,1
2024-05-30 09:14:28,2024-05-30 17:34:22,23BH6445J,1
2024-05-30 09:14:08,2024-05-30 17:22:49,OD33Z7071,1
2024-05-30 09:13:46,2024-05-30 17:49:03,24BH0170E,1
2024-05-30 09:13:21,2024-05-30 19:30:00,BR06GE1310,1
2024-05-30 09:13:11,2024-05-30 19:16:34,AS01FK7998,1
